id	title	lon	lat	geowkt	ccodes
8349828	Jaipur	75.86666667	26.91666667	MULTIPOINT (75.866666666667 26.916666666667)	IN
8349813	Jeddah	39.17277778	21.54277778	MULTIPOINT (39.172777777778 21.542777777778)	SA
8349857	Jerusalem	35.21666667	31.78333333	MULTIPOINT (35.216666666667 31.783333333333)	IL
8349858	Jongno	126.979378	37.572916	MULTIPOINT (126.979378 37.572916)	KR
8349814	Kairouan	10.1	35.68333333	MULTIPOINT (10.1 35.68333333333333)	TN
8349859	Kandy	80.63845278	7.296961111	MULTIPOINT (80.638452777778 7.2969611111111)	LK
8349860	Karangasem	115.5166667	-8.36666667	MULTIPOINT (115.51666667 -8.366666670000001)	ID
8349929	Karlskrona	15.63084178	56.19221015	MULTIPOINT (15.630841782333 56.192210153547)	SE
8349861	Kathmandu	85.36666667	27.71666667	MULTIPOINT (85.366666666667 27.716666666667)	NP
8349930	Kazan	49.11444444	55.79083333	MULTIPOINT (49.114444444444 55.790833333333)	RU
8349862	Khiva	60.36388889	41.37833333	MULTIPOINT (60.363888888889 41.378333333333)	UZ
8349931	Kolding	9.47	55.49	MULTIPOINT (9.470000000000001 55.49)	DK
8349863	Konya	32.48472222	37.87138889	MULTIPOINT (32.484722222222 37.871388888889)	TR
8349932	Kotor	18.771191	42.42539	MULTIPOINT (18.771191 42.42539)	ME
8349933	Kraków	19.93722222	50.06138889	MULTIPOINT (19.937222222222 50.061388888889)	PL
8349934	Kutná Hora	15.26822589	49.94844497	MULTIPOINT (15.268225887967 49.948444972662)	CZ
8349864	Kyoto	135.7680556	35.01166667	MULTIPOINT (135.76805555556 35.011666666667)	JP
8349865	Lalitpur (Patan)	85.316667	27.676389		NP
8349799	Lamu	40.90027778	-2.268611111	MULTIPOINT (40.900277777778 -2.2686111111111)	KE
8349936	Le Havre	0.108055556	49.49416667	MULTIPOINT (0.10805555555556 49.494166666667)	FR
8349866	Levuka	178.8401278	-17.68401389	MULTIPOINT (178.84012777778 -17.684013888889)	FJ
8349867	Lijiang	100.2208333	26.88083333	MULTIPOINT (100.22083333333 26.880833333333)	CN
8350019	Lima	-77.03333333	-12.05	MULTIPOINT (-77.033333333333 -12.05)	PE
8349868	Luang Prabang	102.1380556	19.89305556	MULTIPOINT (102.13805555556 19.893055555556, 102.13503 19.88601)	LA
8349937	Lübeck	10.68638889	53.86972222	MULTIPOINT (10.686388888889 53.869722222222)	DE
8350020	Lunenburg	-64.59916667	44.43333333	MULTIPOINT (-64.599166666667 44.433333333333)	CA
8349938	Luxembourg	6.132777778	49.61055556	MULTIPOINT (6.1327777777778 49.610555555556)	LU
8349935	Lviv	24.0315	49.84188889	MULTIPOINT (24.0315 49.841888888889)	UA
8349939	Lyon	4.841388889	45.75888889	MULTIPOINT (4.8413888888889 45.758888888889)	FR
8349869	Macau	113.55	22.16666667	MULTIPOINT (113.55 22.166666666667)	CN
8349815	Marrakesh	-7.98108	31.62947	MULTIPOINT (-7.98108 31.62947)	MA
8349816	Meknes	-5.55	33.88333333	MULTIPOINT (-5.55 33.883333333333)	MA
8349870	Melaka	102.2511111	2.188888889	MULTIPOINT (102.25111111111 2.1888888888889)	MY
8349940	Mérida	-6.333333333	38.91583333	MULTIPOINT (-6.3333333333333 38.915833333333)	ES
8350021	Mexico City	-99.14555556	19.41944444	MULTIPOINT (-99.145555555556 19.419444444444)	MX
8349871	Miagao	122.2352	10.6442	MULTIPOINT (122.2352 10.6442)	PH
8349941	Modena	10.92572	44.64582	MULTIPOINT (10.92572 44.64582)	IT
